Rk,Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
46,Terrance Bailey,854,ATL,2,42,1987,Wagner,1985-86,Wagner,29,,37.7,11.1,21.6,11.1,21.6,,,7.3,9.6,,,5.5,3.5,1.8,0.5,5.0,3.2,29.4,.514,.514,,.760,.564,.514,G,JR,terrance-bailey-1
47,Kay Felder,853,ATL,2,54,2016,Oakland,2015-16,Oakland,35,35,36.7,7.7,17.5,5.5,11.4,2.2,6.1,6.8,8.1,0.7,3.5,4.3,9.3,2.0,0.2,3.4,3.0,24.4,.440,.485,.355,.848,.572,.502,G,JR,kahlil-felder-1
48,Steve Rogers,852,NJN,2,40,1992,Alabama State,1990-91,Alabama State,29,29,36.6,9.4,18.8,7.5,13.8,1.9,5.1,8.6,11.4,,,7.1,4.2,2.5,0.4,3.1,2.7,29.4,.500,.544,.381,.753,.605,.551,G,JR,steve-rogers-2
49,Scott Skiles,850,MIL,1,22,1986,Michigan State,1985-86,Michigan State,31,31,37.8,10.7,19.3,10.7,19.3,,,6.1,6.7,,,4.4,6.5,1.7,0.0,3.3,1.8,27.4,.554,.554,,.900,.610,.554,G,SR,scott-skiles-1
50,Khalid Reeves,848,MIA,1,12,1994,Arizona,1993-94,Arizona,35,35,31.8,7.9,16.3,5.5,9.9,2.4,6.4,6.0,7.5,,,4.3,2.9,1.8,0.1,2.4,2.5,24.2,.483,.549,.379,.799,.608,.557,G,SR,khalid-reeves-1
51,Lester Hudson,847,BOS,2,58,2009,UT Martin,2007-08,UT Martin,33,32,36.9,8.8,19.0,5.1,9.3,3.8,9.7,4.3,5.1,2.2,5.7,7.8,4.5,2.8,0.7,3.8,2.6,25.7,.464,.544,.388,.834,.599,.563,G,JR,lester-hudson-1
52,Lionel Simmons,847,SAC,1,7,1990,La Salle,1989-90,La Salle,32,32,38.1,10.5,20.4,9.5,18.4,1.0,2.0,4.6,6.9,3.3,7.8,11.1,3.6,1.9,2.0,2.8,2.2,26.5,.513,.517,.477,.661,.559,.537,F,SR,lionel-simmons-1
53,Randy Woods,847,LAC,1,16,1992,La Salle,1991-92,La Salle,31,31,38.2,8.8,21.1,4.9,10.1,3.9,11.0,5.9,7.2,,,6.3,5.2,2.4,0.1,3.6,2.7,27.3,.417,.484,.355,.813,.558,.509,G,SR,randy-woods-1
54,John Wallace,845,NYK,1,18,1996,Syracuse,1995-96,Syracuse,38,38,36.0,7.7,15.8,6.7,13.4,1.0,2.3,5.8,7.7,,,8.7,2.4,1.2,1.7,3.2,2.5,22.2,.489,.501,.420,.763,.573,.520,F,SR,john-wallace-1
55,Marcus Fizer,844,CHI,1,4,2000,Iowa State,1999-00,Iowa State,37,37,33.6,8.8,15.2,8.4,14.1,0.4,1.1,4.7,6.5,2.7,5.0,7.7,1.1,0.8,1.1,2.1,2.8,22.8,.582,.600,.357,.732,.625,.595,F,JR,marcus-fizer-1
56,Morris Almond,844,UTA,1,25,2007,Rice,2006-07,Rice,32,32,33.4,8.2,17.0,5.8,11.7,2.4,5.3,7.5,8.9,1.3,5.2,6.6,1.2,1.2,0.8,3.4,2.1,26.4,.483,.496,.456,.846,.621,.554,G,SR,morris-almond-1
57,Xavier McDaniel,844,OKC,1,4,1985,Wichita State,1984-85,Wichita State,31,31,36.9,11.3,20.3,11.3,20.3,,,4.6,7.2,,,14.8,2.2,1.5,1.0,3.2,3.3,27.2,.559,.559,,.634,.575,.559,F,SR,xavier-mcdaniel-1
58,Gerald Glass,841,MIN,1,20,1990,Ole Miss,1988-89,Ole Miss,30,30,35.7,10.9,20.4,9.5,16.8,1.4,3.6,4.9,6.7,,,8.5,1.9,3.0,1.0,2.9,3.0,28.0,.532,.565,.376,.736,.594,.565,G,JR,gerald-glass-1
59,Jay Williams,841,CHI,1,2,2002,Duke,2000-01,Duke,39,39,31.8,7.3,15.5,3.9,7.5,3.4,7.9,3.6,5.4,0.8,2.5,3.3,6.1,2.0,0.1,3.9,2.2,21.6,.473,.520,.427,.659,.598,.582,G,SO,jay-williams-1
