PLAYER,SALARY ($),SEASON
Nate Robinson,5826336,2009-2010
Travis Outlaw,5826336,2009-2010
Brandon Bass,5826336,2009-2010
Rasual Butler,5746224,2009-2010
Brandon Roy,5696432,2009-2010
Fabricio Oberto,5680677,2009-2010
DeShawn Stevenson,5661637,2009-2010
Mike Conley,5657081,2009-2010
Ryan Gomes,5633339,2009-2010
Kurt Thomas,5535019,2009-2010
Roger Mason,5505887,2009-2010
Russell Westbrook,5470405,2009-2010
CJ Miles,5389361,2009-2010
Steven Hunter,5383534,2009-2010
Willie Green,5363142,2009-2010
Ramon Sessions,5346635,2009-2010
Amir Johnson,5340807,2009-2010
Chris Andersen,5316532,2009-2010
Tyreke Evans,5258385,2009-2010
Charlie Bell,5237876,2009-2010
Randy Foye,5208396,2009-2010
Keyon Dooling,5191265,2009-2010
Jeff Green,5122748,2009-2010
Brian Cook,5098044,2009-2010
Carlos Delfino,5098044,2009-2010
Brian Scalabrine,4972476,2009-2010
Kevin Love,4953900,2009-2010
Luis Scola,4916845,2009-2010
Damien Wilkins,4806727,2009-2010
Rudy Gay,4779048,2009-2010
Matt Bonner,4719886,2009-2010
Marc Gasol,4719332,2009-2010
Kris Humphries,4661069,2009-2010
Yi Jianlian,4652912,2009-2010
Kelenna Azubuike,4562021,2009-2010
Eduardo Najera,4515410,2009-2010
Danilo Gallinari,4499446,2009-2010
Glen Davis,4369752,2009-2010
Hakim Warrick,4369752,2009-2010
Chris Wilcox,4369752,2009-2010
Grant Hill,4369752,2009-2010
Carl Landry,4369752,2009-2010
Andray Blatche,4369752,2009-2010
Jonny Flynn,4325006,2009-2010
Corey Brewer,4247574,2009-2010
Eddie House,4168743,2009-2010
Mark Madsen,4136698,2009-2010
JJ Redick,4135836,2009-2010
Eric Gordon,4107392,2009-2010
Hilton Armstrong,4080180,2009-2010
Thabo Sefolosha,4019630,2009-2010
Jamario Moon,4005606,2009-2010
Dorell Wright,4005606,2009-2010
Aleksandar Pavlovic,4005606,2009-2010
Ronnie Brewer,3957773,2009-2010
Stephen Curry,3948158,2009-2010
Brandan Wright,3891177,2009-2010
Jerry Stackhouse,3887037,2009-2010
Anthony Parker,3851543,2009-2010
Joe Alexander,3762881,2009-2010
Mikki Moore,3696740,2009-2010
Maurice Evans,3641460,2009-2010
Tony Allen,3641460,2009-2010
Sebastian Telfair,3641460,2009-2010
Dahntay Jones,3641460,2009-2010
Craig Smith,3641460,2009-2010
Michael Finley,3641460,2009-2010
Ricky Davis,3618154,2009-2010
Jordan Hill,3617106,2009-2010
Joakim Noah,3576904,2009-2010
Shawne Williams,3519204,2009-2010
DJ Augustin,3474652,2009-2010
Spencer Hawes,3397919,2009-2010
David Andersen,3350143,2009-2010
DeMar DeRozan,3324857,2009-2010
Brook Lopez,3242181,2009-2010
Acie Law,3228023,2009-2010
Ryan Hollins,3180208,2009-2010
Brandon Jennings,3158631,2009-2010
Anthony Johnson,3146221,2009-2010
Jerryd Bayless,3121576,2009-2010
Renaldo Balkman,3076913,2009-2010
Chuck Hayes,3075941,2009-2010
Antoine Wright,3074193,2009-2010
Thaddeus Young,3066692,2009-2010
Ersan Ilyasova,3058826,2009-2010
Rajon Rondo,3051430,2009-2010
Chucky Atkins,3009964,2009-2010
Jarvis Hayes,3004641,2009-2010
Brent Barry,3004641,2009-2010
Terrence Williams,3000621,2009-2010
Josh Boone,2996146,2009-2010
Jason Thompson,2965488,2009-2010
Kyle Lowry,2964144,2009-2010
Julian Wright,2913226,2009-2010
Jannero Pargo,2913168,2009-2010
Shannon Brown,2913168,2009-2010
Bruce Bowen,2913168,2009-2010
Channing Frye,2913168,2009-2010
Marquis Daniels,2898602,2009-2010
Ronald Murray,2898602,2009-2010
Radoslav Nesterovic,2898602,2009-2010
Gerald Henderson,2850651,2009-2010
Jordan Farmar,2836318,2009-2010
Brandon Rush,2817266,2009-2010
Al Thornton,2767801,2009-2010
Sergio Rodriguez,2755908,2009-2010
Mardy Collins,2720523,2009-2010
Tyler Hansbrough,2708022,2009-2010
Anthony Randolph,2676560,2009-2010
Goran Dragic,2674288,2009-2010
Rodney Stuckey,2629192,2009-2010
Earl Clark,2572735,2009-2010
Robin Lopez,2542496,2009-2010
Travis Diener,2534456,2009-2010
Nick Young,2497750,2009-2010
Francisco Elson,2476193,2009-2010
Austin Daye,2443915,2009-2010
Marreese Speights,2415424,2009-2010
Jose Juan Barea,2414288,2009-2010
Sean Williams,2372950,2009-2010
Hamed Haddadi,2370997,2009-2010
Solomon Jones,2359666,2009-2010
Patrick O'Bryant,2359666,2009-2010
Devean George,2330534,2009-2010
Matt Barnes,2330534,2009-2010
James Johnson,2321911,2009-2010
Roy Hibbert,2294644,2009-2010
Oleksiy Pecherov,2254267,2009-2010
Marco Belinelli,2254267,2009-2010
Jrue Holiday,2205676,2009-2010
JaVale McGee,2179982,2009-2010
Javaris Crittenton,2152714,2009-2010
Ty Lawson,2095573,2009-2010
JJ Hickson,2081750,2009-2010
Jason Smith,2066718,2009-2010
Jeff Teague,2001171,2009-2010
Alexis Ajinca,1998549,2009-2010
Daequan Cook,1984042,2009-2010
Eric Maynor,1921117,2009-2010
Ryan Anderson,1918496,2009-2010
Jared Dudley,1904687,2009-2010
Joe Smith,1902961,2009-2010
Theo Ratliff,1902961,2009-2010
Lindsey Hunter,1902961,2009-2010
Anthony Carter,1902961,2009-2010
Brian Skinner,1902961,2009-2010
Kevin Ollie,1902961,2009-2010
Adonal Foyle,1902961,2009-2010
Jason Williams,1902961,2009-2010
Juwan Howard,1902961,2009-2010
Ben Wallace,1902947,2009-2010
Malik Allen,1893559,2009-2010
Darren Collison,1844210,2009-2010
Courtney Lee,1841763,2009-2010
Wilson Chandler,1828653,2009-2010
Ronnie Price,1820730,2009-2010
Jamaal Magloire,1790469,2009-2010
Kosta Koufos,1768351,2009-2010
Allen Iverson,1735053,2009-2010
Earl Boykins,1735053,2009-2010
Sean Marks,1729964,2009-2010
Jason Collins,1721395,2009-2010
Jarron Collins,1721395,2009-2010
Omri Casspi,1699833,2009-2010
Rudy Fernandez,1697386,2009-2010
Serge Ibaka,1631665,2009-2010
BJ Mullens,1631665,2009-2010
Nicolas Batum,1629568,2009-2010
Aaron Brooks,1629218,2009-2010
Carlos Arroyo,1613271,2009-2010
Primoz Brezec,1613271,2009-2010
Devin Brown,1602242,2009-2010
Arron Afflalo,1582199,2009-2010
George Hill,1575557,2009-2010
Ian Mahinmi,1572586,2009-2010
Rodrigue Beaubois,1566468,2009-2010
Alando Tucker,1561050,2009-2010
Chris Quinn,1536696,2009-2010
Darrell Arthur,1530112,2009-2010
Royal Ivey,1529413,2009-2010
Donte Greene,1520673,2009-2010
Taj Gibson,1514556,2009-2010
DJ White,1509662,2009-2010
Keith Bogans,1505149,2009-2010
Quinton Ross,1505149,2009-2010
James Singleton,1500556,2009-2010
JR Giddens,1498650,2009-2010
DeMarre Carroll,1470683,2009-2010
Wayne Ellington,1461769,2009-2010
CJ Watson,1457308,2009-2010
Aaron Gray,1457308,2009-2010
Greg Buckner,1456584,2009-2010
Toney Douglas,1451107,2009-2010
Josh Powell,1397025,2009-2010
Didier Ilunga-Mbenga,1397025,2009-2010
Yakhouba Diawara,1376471,2009-2010
Stephen Graham,1288903,2009-2010
Joey Graham,1288903,2009-2010
Johan Petro,1288903,2009-2010
Luther Head,1288903,2009-2010
Ike Diogu,1288903,2009-2010
Sean May,1288903,2009-2010
Joey Dorsey,1283250,2009-2010
Kyle Weaver,1268638,2009-2010
Kyrylo Fesenko,1267228,2009-2010
Randolph Morris,1245654,2009-2010
Leon Powe,1245654,2009-2010
Steve Novak,1245654,2009-2010
Marcus Williams,1245654,2009-2010
Rodney Carney,1245654,2009-2010
Louis Amundson,1245654,2009-2010
DeJuan Blair,1238096,2009-2010
Ime Udoka,1220667,2009-2010
Shelden Williams,1202405,2009-2010
Will Bynum,1202405,2009-2010
Josh McRoberts,1202405,2009-2010
Joel Anthony,1202405,2009-2010
Dominic McGuire,1202405,2009-2010
Marcus Haislip,1202405,2009-2010
Sam Young,1200516,2009-2010
Jonathan Bender,1167249,2009-2010
Mario Chalmers,1126667,2009-2010
Darnell Jackson,1072657,2009-2010
Jawad Williams,1072657,2009-2010
Anthony Morrow,1072657,2009-2010
DeAndre Jordan,1072657,2009-2010
Bobby Brown,1072657,2009-2010
Luc Mbah a Moute,1072657,2009-2010
Nathan Jawai,1072657,2009-2010
Henry Walker,1072657,2009-2010
Malik Hairston,1072657,2009-2010
Sonny Weems,1072657,2009-2010
Chris Douglas-Roberts,1072045,2009-2010
Jermaine Taylor,1056023,2009-2010
Jodie Meeks,946779,2009-2010
Chris Hunter,921223,2009-2010
Kareem Rush,779135,2009-2010
Jason Hart,759438,2009-2010
Marcus Thornton,666952,2009-2010
Marcus Landry,666515,2009-2010
Derrick Brown,666515,2009-2010
Danny Green,666515,2009-2010
Jonas Jerebko,666515,2009-2010
DaJuan Summers,666515,2009-2010
Chase Budinger,666515,2009-2010
AJ Price,666515,2009-2010
Taylor Griffin,666515,2009-2010
Dante Cunningham,666515,2009-2010
Jeff Ayres,666515,2009-2010
Patrick Mills,666515,2009-2010
Jon Brockman,666515,2009-2010
Wesley Matthews,666515,2009-2010
Mario West,650714,2009-2010
Anthony Tolliver,599425,2009-2010
Lester Hudson,572417,2009-2010
Coby Karl,517399,2009-2010
Shavlik Randolph,500397,2009-2010
Pops Mensah-Bonsu,480962,2009-2010
Othello Hunter,447992,2009-2010
Roko Ukic,441682,2009-2010
Shaun Livingston,432161,2009-2010
Sundiata Gaines,392067,2009-2010
Ryan Bowen,305288,2009-2010
Garrett Temple,262686,2009-2010
Mike Wilks,256224,2009-2010
Antonio Anderson,203875,2009-2010
Cartier Martin,126195,2009-2010
Quincy Douby,124565,2009-2010
Paul Davis,117237,2009-2010
Desmond Mason,111938,2009-2010
Mike Harris,94645,2009-2010
Cedric Jackson,78413,2009-2010
Will Conroy,70730,2009-2010
Chris Richard,63097,2009-2010
JamesOn Curry,39206,2009-2010
Kobe Bryant,35755757,2010-2011
Rashard Lewis,28213569,2010-2011
Kevin Garnett,27098341,2010-2011
Tim Duncan,26954201,2010-2011
Michael Redd,26377640,2010-2011
Pau Gasol,25690092,2010-2011
Andrei Kirilenko,25690092,2010-2011
Gilbert Arenas,25557042,2010-2011
Yao Ming,25492764,2010-2011
Zach Randolph,25464752,2010-2011
Vince Carter,24936239,2010-2011
Dirk Nowitzki,24905419,2010-2011
Carmelo Anthony,24718938,2010-2011
Dwight Howard,23995264,2010-2011
Kenyon Martin,23848636,2010-2011
Amare Stoudemire,23763819,2010-2011
Joe Johnson,23530152,2010-2011
Elton Brand,23003463,2010-2011
Predrag Stojakovic,22388303,2010-2011
Chris Paul,21534753,2010-2011
Deron Williams,21534752,2010-2011
LeBron James,20900316,2010-2011
Chris Bosh,20900316,2010-2011
Jason Richardson,20820238,2010-2011
Carlos Boozer,20756176,2010-2011
Dwyane Wade,20467896,2010-2011
Paul Pierce,20001344,2010-2011
Andrew Bynum,19747195,2010-2011
Rudy Gay,19608460,2010-2011
Brandon Roy,19488464,2010-2011
Tony Parker,19458915,2010-2011
Samuel Dalembert,19355320,2010-2011
Antawn Jamison,19255540,2010-2011
Nick Collison,19098565,2010-2011
Chauncey Billups,18954425,2010-2011
Baron Davis,18738214,2010-2011
Al Jefferson,18738214,2010-2011
Tyson Chandler,18161654,2010-2011
Richard Hamilton,18017514,2010-2011
Andre Iguodala,17794457,2010-2011
Troy Murphy,17251053,2010-2011
Manu Ginobili,17087210,2010-2011
Chris Kaman,17008533,2010-2011
Marcus Camby,16936221,2010-2011
Josh Smith,16720253,2010-2011
Eddy Curry,16620208,2010-2011
Emeka Okafor,16568906,2010-2011
Nenê,16374316,2010-2011
Luol Deng,16352695,2010-2011
LaMarcus Aldridge,16207114,2010-2011
Tayshaun Prince,16069835,2010-2011
Kevin Martin,15999559,2010-2011
Monta Ellis,15855412,2010-2011
Andrew Bogut,15855412,2010-2011
Danny Granger,15816785,2010-2011
Jamal Crawford,15567132,2010-2011
Ben Gordon,15567132,2010-2011
David Lee,15567132,2010-2011
Jason Terry,15350922,2010-2011
Mike Dunleavy,15224055,2010-2011
Caron Butler,15224021,2010-2011
Gerald Wallace,15134711,2010-2011
Steve Nash,14862197,2010-2011
Hidayet Turkoglu,14725137,2010-2011
Ray Allen,14414011,2010-2011
Mehmet Okur,14334734,2010-2011
Corey Maggette,13837450,2010-2011
Maurice Williams,13405030,2010-2011
Rajon Rondo,13103649,2010-2011
Kirk Hinrich,12972610,2010-2011
Boris Diaw,12972610,2010-2011
Andris Biedrins,12972610,2010-2011
Jose Calderon,12972610,2010-2011
Devin Harris,12945223,2010-2011
Jason Kidd,12411184,2010-2011
TJ Ford,12251909,2010-2011
Andrea Bargnani,12251909,2010-2011
Stephen Jackson,12184524,2010-2011
Richard Jefferson,12107769,2010-2011
David West,11945611,2010-2011
Lamar Odom,11819489,2010-2011
John Salmons,11531209,2010-2011
Jameer Nelson,11242928,2010-2011
Luis Scola,11207438,2010-2011
Marko Jaric,10990683,2010-2011
Paul Millsap,10954648,2010-2011
Raymond Felton,10810508,2010-2011
Joel Przybilla,10674007,2010-2011
Shane Battier,10600784,2010-2011
Shawn Marion,10530156,2010-2011
Anderson Varejao,10496020,2010-2011
Andre Miller,10477925,2010-2011
JJ Redick,10450158,2010-2011
Dan Gadzuric,10447743,2010-2011
James Posey,10304288,2010-2011
Leandro Barbosa,10233948,2010-2011
Charlie Villanueva,10118636,2010-2011
Travis Outlaw,10089807,2010-2011
Brendan Haywood,9945667,2010-2011
Vladimir Radmanovic,9922317,2010-2011
Jared Jeffries,9922317,2010-2011
Nazr Mohammed,9922317,2010-2011
Andres Nocioni,9873597,2010-2011
Greg Oden,9744627,2010-2011
JR Smith,9740774,2010-2011
Marvin Williams,9675405,2010-2011
Morris Peterson,9606938,2010-2011
Jeff Foster,9592524,2010-2011
Jason Kapono,9572979,2010-2011
Tyrus Thomas,9529924,2010-2011
Josh Childress,9369107,2010-2011
DeSagana Diop,9338261,2010-2011
Beno Udrih,9338261,2010-2011
Rasheed Wallace,9112999,2010-2011
Metta World Peace,9112999,2010-2011
Trevor Ariza,9112999,2010-2011
Marcin Gortat,9112999,2010-2011
Kevin Durant,8725756,2010-2011
Andray Blatche,8504266,2010-2011
Jermaine O'Neal,8309677,2010-2011
Al Harrington,8309677,2010-2011
Wesley Matthews,8309677,2010-2011
Drew Gooden,8302470,2010-2011
Kyle Lowry,8288056,2010-2011
Mike Bibby,8021061,2010-2011
Derrick Rose,7994241,2010-2011
Nenad Krstic,7989853,2010-2011
Jamaal Tinsley,7927706,2010-2011
Francisco Garcia,7927706,2010-2011
Sasha Vujacic,7891834,2010-2011
Al Horford,7848223,2010-2011
Blake Griffin,7721989,2010-2011
Mickael Pietrus,7639426,2010-2011
Luke Walton,7581770,2010-2011
Channing Frye,7495285,2010-2011
John Wall,7414971,2010-2011
Reggie Evans,7322317,2010-2011
Kyle Korver,7207005,2010-2011
Jason Maxiell,7207005,2010-2011
Mike Miller,7207005,2010-2011
Louis Williams,7207005,2010-2011
Amir Johnson,7207005,2010-2011
Linas Kleiza,7199798,2010-2011
Michael Beasley,7152578,2010-2011
Mike Conley,7081613,2010-2011
Antonio McDyess,7005209,2010-2011
Marcus Banks,6987315,2010-2011
Darius Songaila,6944670,2010-2011
Martell Webster,6918725,2010-2011
Hasheem Thabeet,6909039,2010-2011
Ronnie Brewer,6904311,2010-2011
Kendrick Perkins,6688401,2010-2011
Evan Turner,6634365,2010-2011
Jarrett Jack,6630445,2010-2011
Chris Andersen,6534303,2010-2011
OJ Mayo,6423171,2010-2011
Jeff Green,6422866,2010-2011
Charlie Bell,6411052,2010-2011
Brad Miller,6342165,2010-2011
Darko Milicic,6234059,2010-2011
James Harden,6204540,2010-2011
Matt Carroll,6198024,2010-2011
Zaza Pachulia,6127756,2010-2011
Randy Foye,6125954,2010-2011
Hakim Warrick,6125954,2010-2011
Nate Robinson,6053884,2010-2011
DeShawn Stevenson,5984389,2010-2011
Derrick Favors,5957714,2010-2011
Yi Jianlian,5838393,2010-2011
Russell Westbrook,5791146,2010-2011
Daniel Gibson,5787707,2010-2011
Anthony Morrow,5765604,2010-2011
Ryan Gomes,5765604,2010-2011
Steve Blake,5765604,2010-2011
Nikola Pekovic,5765604,2010-2011
Luke Ridnour,5765604,2010-2011
Ronny Turiaf,5765604,2010-2011
Brandon Bass,5765604,2010-2011
Willie Green,5731010,2010-2011
Ramon Sessions,5714175,2010-2011
Tyreke Evans,5593962,2010-2011
Jordan Farmar,5405254,2010-2011
Wesley Johnson,5371525,2010-2011
Corey Brewer,5338188,2010-2011
Derek Fisher,5333184,2010-2011
CJ Miles,5333184,2010-2011
Kevin Love,5244220,2010-2011
Timofey Mozgov,5141616,2010-2011
Shaun Livingston,5044903,2010-2011
Dorell Wright,5044903,2010-2011
Udonis Haslem,5044903,2010-2011
Carlos Delfino,5044903,2010-2011
Chris Duhon,5044903,2010-2011
Marc Gasol,5016075,2010-2011
Tiago Splitter,4900763,2010-2011
Brandan Wright,4897984,2010-2011
DeMarcus Cousins,4864209,2010-2011
Grant Hill,4791217,2010-2011
Danilo Gallinari,4763196,2010-2011
Glen Davis,4756623,2010-2011
Joel Anthony,4756623,2010-2011
Kelenna Azubuike,4756623,2010-2011
Johan Petro,4684553,2010-2011
Will Bynum,4684553,2010-2011
Thabo Sefolosha,4684553,2010-2011
Kris Humphries,4612483,2010-2011
Jonny Flynn,4600952,2010-2011
Joakim Noah,4509475,2010-2011
CJ Watson,4468343,2010-2011
Ekpe Udoh,4417952,2010-2011
Eric Gordon,4348245,2010-2011
Eduardo Najera,4324203,2010-2011
Chris Wilcox,4324203,2010-2011
Jamario Moon,4324203,2010-2011
Tony Allen,4324203,2010-2011
Carl Landry,4324203,2010-2011
Matt Bonner,4324203,2010-2011
Raja Bell,4324203,2010-2011
Josh Howard,4324203,2010-2011
Spencer Hawes,4287188,2010-2011
Stephen Curry,4200012,2010-2011
Thaddeus Young,4181852,2010-2011
Julian Wright,4119606,2010-2011
Anthony Parker,4116209,2010-2011
Al Thornton,4056385,2010-2011
Greg Monroe,4033098,2010-2011
Rodney Stuckey,3988538,2010-2011
Sebastian Telfair,3891783,2010-2011
Jordan Hill,3847849,2010-2011
Nick Young,3791610,2010-2011
Al-Farouq Aminu,3694772,2010-2011
DJ Augustin,3661735,2010-2011
Dahntay Jones,3603502,2010-2011
David Andersen,3603502,2010-2011
Maurice Evans,3603502,2010-2011
Marquis Daniels,3560260,2010-2011
DeMar DeRozan,3537025,2010-2011
Brook Lopez,3478562,2010-2011
Rasual Butler,3459362,2010-2011
Marco Belinelli,3430923,2010-2011
Gordon Hayward,3396402,2010-2011
Ryan Hollins,3363268,2010-2011
Brandon Jennings,3360079,2010-2011
Ersan Ilyasova,3344771,2010-2011
Craig Smith,3315222,2010-2011
Jerryd Bayless,3304556,2010-2011
Quentin Richardson,3264773,2010-2011
Paul George,3226374,2010-2011
Louis Amundson,3207117,2010-2011
Terrence Williams,3191954,2010-2011
Shannon Brown,3171082,2010-2011
Anthony Tolliver,3171082,2010-2011
Jason Smith,3153660,2010-2011
Jason Thompson,3139371,2010-2011
Daequan Cook,3127634,2010-2011
Jared Dudley,3100551,2010-2011
Wilson Chandler,3070879,2010-2011
Cole Aldrich,3065168,2010-2011
Gerald Henderson,3032477,2010-2011
Ben Wallace,2998114,2010-2011
Brandon Rush,2982329,2010-2011
Xavier Henry,2911918,2010-2011
Aaron Brooks,2906862,2010-2011
Keyon Dooling,2882802,2010-2011
Tyler Hansbrough,2880784,2010-2011
Chuck Hayes,2843163,2010-2011
Goran Dragic,2842443,2010-2011
Anthony Randolph,2833391,2010-2011
Arron Afflalo,2824536,2010-2011
Ed Davis,2766279,2010-2011
Earl Clark,2736874,2010-2011
Jason Williams,2705718,2010-2011
Robin Lopez,2691557,2010-2011
Patrick Patterson,2628077,2010-2011
Jose Juan Barea,2616143,2010-2011
Austin Daye,2599884,2010-2011
Marreese Speights,2556987,2010-2011
Matt Barnes,2544073,2010-2011
Larry Sanders,2496449,2010-2011
Omer Asik,2480651,2010-2011
James Johnson,2469984,2010-2011
Roy Hibbert,2429164,2010-2011
Renaldo Balkman,2414346,2010-2011
Luke Babbitt,2371739,2010-2011
Jrue Holiday,2346485,2010-2011
JaVale McGee,2307740,2010-2011
Keith Bogans,2306241,2010-2011
Hamed Haddadi,2306241,2010-2011
Kevin Seraphin,2253082,2010-2011
Ty Lawson,2229213,2010-2011
JJ Hickson,2203787,2010-2011
Solomon Jones,2162101,2010-2011
Eric Bledsoe,2140480,2010-2011
Jeff Teague,2128718,2010-2011
Alexis Ajinca,2115746,2010-2011
Avery Bradley,2044137,2010-2011
Eric Maynor,2043618,2010-2011
Courtney Lee,2030991,2010-2011
Ryan Anderson,2030991,2010-2011
Roger Mason,2017961,2010-2011
Ronnie Price,1989133,2010-2011
James Anderson,1962323,2010-2011
Darren Collison,1961804,2010-2011
Kosta Koufos,1949696,2010-2011
Jason Collins,1949035,2010-2011
Shaquille O'Neal,1949035,2010-2011
Kurt Thomas,1949035,2010-2011
Brian Cardinal,1949035,2010-2011
Tracy McGrady,1949035,2010-2011
Theo Ratliff,1949035,2010-2011
Joe Smith,1949035,2010-2011
Zydrunas Ilgauskas,1949035,2010-2011
Juwan Howard,1949035,2010-2011
Eddie House,1949035,2010-2011
Earl Boykins,1949035,2010-2011
Anthony Carter,1949035,2010-2011
Tony Battie,1949035,2010-2011
Craig Brackins,1883795,2010-2011
Sean Marks,1822921,2010-2011
Elliot Williams,1808554,2010-2011
Omri Casspi,1808208,2010-2011
Rudy Fernandez,1796965,2010-2011
Kwame Brown,1771849,2010-2011
Brian Scalabrine,1771849,2010-2011
Jamaal Magloire,1771849,2010-2011
Malik Allen,1771849,2010-2011
Earl Watson,1771849,2010-2011
Etan Thomas,1763072,2010-2011
Melvin Ely,1763072,2010-2011
Carlos Arroyo,1763072,2010-2011
Trevor Booker,1736254,2010-2011
Serge Ibaka,1735735,2010-2011
BJ Mullens,1735735,2010-2011
Royal Ivey,1729681,2010-2011
Nicolas Batum,1725011,2010-2011
George Hill,1667931,2010-2011
Damion James,1666720,2010-2011
Rodrigue Beaubois,1666375,2010-2011
Quinton Ross,1652331,2010-2011
Brian Cook,1652331,2010-2011
Francisco Elson,1652331,2010-2011
Erick Dampier,1628017,2010-2011
Darrell Arthur,1619673,2010-2011
Taj Gibson,1611025,2010-2011
Donte Greene,1609814,2010-2011
Dominique Jones,1600128,2010-2011
DJ White,1598052,2010-2011
Kyrylo Fesenko,1567523,2010-2011
DeMarre Carroll,1564496,2010-2011
Wayne Ellington,1554983,2010-2011
Quincy Pondexter,1547027,2010-2011
Toney Douglas,1543740,2010-2011
Josh Powell,1541735,2010-2011
Delonte West,1541591,2010-2011
James Jones,1541591,2010-2011
Didier Ilunga-Mbenga,1541591,2010-2011
Jordan Crawford,1502401,2010-2011
Greivis Vasquez,1493233,2010-2011
Aaron Gray,1482971,2010-2011
Daniel Orton,1482336,2010-2011
Christian Eyenga,1471612,2010-2011
Lazar Hayward,1471612,2010-2011
Jon Brockman,1441401,2010-2011
Hilton Armstrong,1430850,2010-2011
Stephen Graham,1430850,2010-2011
Joey Graham,1430850,2010-2011
Fabricio Oberto,1430850,2010-2011
Luther Head,1430850,2010-2011
Antoine Wright,1430850,2010-2011
Patrick Mills,1350873,2010-2011
DeJuan Blair,1323206,2010-2011
Von Wafer,1320110,2010-2011
Leon Powe,1320110,2010-2011
Shelden Williams,1320110,2010-2011
Sam Young,1277081,2010-2011
Shawne Williams,1275942,2010-2011
Josh McRoberts,1275812,2010-2011
Dominic McGuire,1274371,2010-2011
Chris Quinn,1242456,2010-2011
Acie Law,1238288,2010-2011
DeAndre Jordan,1231517,2010-2011
Mario Chalmers,1231517,2010-2011
Luc Mbah a Moute,1231517,2010-2011
Chris Douglas-Roberts,1231517,2010-2011
Henry Walker,1231517,2010-2011
Darnell Jackson,1231517,2010-2011
Sonny Weems,1231517,2010-2011
Joey Dorsey,1231517,2010-2011
Cartier Martin,1231517,2010-2011
Chase Budinger,1125548,2010-2011
Jermaine Taylor,1125548,2010-2011
Solomon Alabi,1109878,2010-2011
Ian Mahinmi,1098630,2010-2011
Dante Cunningham,1098628,2010-2011
Derrick Brown,1098628,2010-2011
DaJuan Summers,1098628,2010-2011
Jonas Jerebko,1098628,2010-2011
Reggie Williams,1098628,2010-2011
AJ Price,1098628,2010-2011
Jodie Meeks,1098628,2010-2011
Marcus Thornton,1098628,2010-2011
Lance Stephenson,1081050,2010-2011
Damien Wilkins,1079113,2010-2011
Steve Novak,1059350,2010-2011
Hassan Whiteside,1052852,2010-2011
Alonzo Gee,982302,2010-2011
Rodney Carney,939608,2010-2011
Jarron Collins,927615,2010-2011
Ike Diogu,877484,2010-2011
Andy Rautins,864840,2010-2011
Gary Neal,756735,2010-2011
Samardo Samuels,720700,2010-2011
Willie Warren,720700,2010-2011
Gani Lawal,682705,2010-2011
Garret Siler,682705,2010-2011
Pape Sy,682653,2010-2011
Ben Uzoh,682653,2010-2011
Sherron Collins,682653,2010-2011
Semih Erden,682653,2010-2011
Luke Harangody,682653,2010-2011
Manny Harris,682653,2010-2011
Gary Forbes,682653,2010-2011
Terrico White,682653,2010-2011
Jeremy Lin,682653,2010-2011
Devin Ebanks,682653,2010-2011
Derrick Caracter,682653,2010-2011
Ishmael Smith,682653,2010-2011
Patrick Beverley,682653,2010-2011
Dexter Pittman,682653,2010-2011
Da'Sean Butler,682653,2010-2011
Landry Fields,682653,2010-2011
Armon Johnson,682653,2010-2011
Pooh Jeter,682653,2010-2011
Jeremy Evans,682653,2010-2011
Hamady N'Diaye,682653,2010-2011
Pops Mensah-Bonsu,525334,2010-2011
Jeff Adrien,493919,2010-2011
Sundiata Gaines,471764,2010-2011
Jawad Williams,463629,2010-2011
Brian Skinner,389806,2010-2011
Ime Udoka,380864,2010-2011
Zabian Dowdell,349358,2010-2011
Jerry Stackhouse,321017,2010-2011
John Lucas,300191,2010-2011
Aleksandar Pavlovic,291587,2010-2011
Lester Hudson,277889,2010-2011
Earl Barron,271787,2010-2011
Garrett Temple,245575,2010-2011
Chris Johnson,236919,2010-2011
Darington Hobson,148576,2010-2011
Danny Green,135713,2010-2011
Joe Alexander,130396,2010-2011
Trey Johnson,129250,2010-2011
Mustafa Shakur,129250,2010-2011
Maurice Ager,120075,2010-2011
Bobby Simmons,103710,2010-2011
Matt Janning,84327,2010-2011
Ronald Dupree,84167,2010-2011
Larry Owens,80311,2010-2011
Kobe Bryant,35136976,2011-2012
Vince Carter,29646765,2011-2012
Kevin Garnett,29573059,2011-2012
Tim Duncan,29458334,2011-2012
Rashard Lewis,29419378,2011-2012
Gilbert Arenas,26820312,2011-2012
Dirk Nowitzki,26574739,2011-2012
Pau Gasol,26047607,2011-2012
Carmelo Anthony,25775391,2011-2012
Amare Stoudemire,25356622,2011-2012
Dwight Howard,25181337,2011-2012
Joe Johnson,25107294,2011-2012
Richard Hamilton,24357671,2011-2012
Elton Brand,23744870,2011-2012
Deron Williams,22770672,2011-2012
Chris Paul,22770672,2011-2012
Brandon Roy,22314611,2011-2012
LeBron James,22301188,2011-2012
Chris Bosh,22301188,2011-2012
Dwyane Wade,21839784,2011-2012
Kevin Durant,21583169,2011-2012
Paul Pierce,21341961,2011-2012
Baron Davis,21229007,2011-2012
Zach Randolph,21156378,2011-2012
Antawn Jamison,20984781,2011-2012
Rudy Gay,20922744,2011-2012
Andrew Bynum,20738818,2011-2012
Chauncey Billups,19764510,2011-2012
Chris Kaman,19527893,2011-2012
Al Jefferson,19486137,2011-2012
